Experiment,Sample_Type,Cell Line,Karyotype,Timepoint,Treatment,Tryptophan,L-Kynurenine,Kynurenic acid,L-Alanine,Picolinic acid,Nicotinamide,Indole-3-acetaldehyde,5-Hydroxy-L-tryptophan,Indole,Serotonin,Anthranilate,Xanthurenic acid,L-Arginine,3-Hydroxyanthranilate
5,Cells,2036,D21,6,IFN+,11403451.14,11117970.95,,61443.0156,,458561.5367,733915.7353,421915.5335,1672767.53,,,0,2278641.427,
5,Cells,8447,D21,6,IFN+,3767091.542,7886003.003,,43557.3945,,443213.7394,669551.3999,352720.6395,1754865.476,,,0,2670285.711,
5,Cells,5397,T21,6,IFN+,306449.2743,9286718.941,,21013.957,,428795.7539,857676.5195,961544.1969,1704936.309,,,10377.25,2443387.704,
5,Cells,2767,T21,6,IFN+,5526119.653,10895156.56,,28885.4844,,431439.4458,843109.3164,776088.0662,1759871.784,,,0,2616459.982,
5,Cells,4616,T21,6,IFN+,3316699.32,6866442.463,,12694.3857,,518673.1243,740585.9961,666968.8168,1768423.97,,,0,2537087.312,
5,Cells,5659,D21,6,IFN-,5672505.99,9701561.714,,0,,411392.6203,650886.0008,364959.0928,1793713.686,,,4671.5981,2156429.078,
5,Cells,2036,D21,6,IFN-,8859917.12,10383258.98,,53921.7305,,472075.6759,676363.6565,215596.6778,2042906.566,,,0,2614658.352,
5,Cells,8447,D21,6,IFN-,6633239.663,9909521.266,,50729.3477,,404307.9492,664106.2508,724944.1625,1960910.631,,,2471.5627,2280294.219,
5,Cells,5397,T21,6,IFN-,4305218.722,5550035.706,,18493.918,,386154.7428,683622.315,542688.5045,1883843.498,,,3031.8477,2512424.187,
5,Cells,2767,T21,6,IFN-,10268784.29,8710664.242,,55231.0508,,413501.951,860475.6519,377810.3937,1946789.75,,,0,2684939.138,
5,Cells,4616,T21,6,IFN-,16168040.3,10067963.15,,58156.6758,,549127.8472,1168636.554,808572.5899,1963107.117,,,0,4530920.273,
5,Cells,5659,D21,24,IFN+,5084624.122,6771426.975,,0,,428943.5728,695576.9053,866277.1616,1416257.133,,,10900.19,2869048.398,
